"V1" "V2"
"257" 39 33
"92" 49 26
"392" 38 22
"487" 38 19
"231" 36 1
"347" 36 37
"303" 62 22
"258" 32 23
"444" 35 28
"431" 26 36
"49" 47 8
"174" 50 5
"196" 30 2
"491" 59 29
"101" 40 25
"128" 34 34
"75" 46 6
"223" 26 31
"46" 65 8
"166" 42 23
"123" 41 25
"449" 51 3
"387" 49 33
"332" 45 3
"68" 55 33
"411" 52 15
"401" 50 35
"156" 46 33
"510" 48 18
"1" 50 27
"417" 39 9
"302" 28 29
"132" 52 26
"108" 39 32
"260" 34 23
"273" 25 34
"34" 43 21
"269" 47 20
"259" 32 23
"500" 43 21
"216" 39 16
"312" 43 5
"71" 58 35
"44" 50 6
"100" 46 24
"393" 39 35
"163" 52 36
"252" 28 23
"290" 39 35
"464" 57 28
"486" 35 37
"374" 70 4
"498" 41 24
"366" 72 12
"29" 42 29
"339" 37 33
"281" 47 28
"519" 40 29
"429" 28 32
"143" 55 34
"407" 56 6
"414" 77 5
"517" 51 3
"528" 41 26
"361" 54 2
"461" 33 23
"469" 44 32
"473" 35 31
"167" 45 26
"286" 47 21
"295" 32 8
"150" 51 39
"351" 36 34
"65" 30 4
"410" 43 33
"4" 71 9
"372" 64 6
"158" 51 26
"296" 26 27
"6" 50 8
"291" 31 38
"30" 45 18
"442" 37 21
"225" 49 8
"333" 42 5
"276" 36 38
"349" 33 30
"15" 33 25
"42" 62 23
